Subsystem,Instance,Parameter,CurrentModelTarget,PlannedConfigKey,ConfigRecordCreated,ComponentParameterCreated,ActualTargetConnected,DefaultMatched,UnitConversion,Status
EPS,solarArrayPlusY,Normal_X,Components.BodyMountedSolarArrayPlusYUnit.panelNormalBody[1],SpacecraftDesignConfig.eps.solarArrayPlusY.Normal_X,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,Normal_Y,Components.BodyMountedSolarArrayPlusYUnit.panelNormalBody[2],SpacecraftDesignConfig.eps.solarArrayPlusY.Normal_Y,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,Normal_Z,Components.BodyMountedSolarArrayPlusYUnit.panelNormalBody[3],SpacecraftDesignConfig.eps.solarArrayPlusY.Normal_Z,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,Mass,Components.BodyMountedSolarArrayPlusYUnit.panelBody.m,SpacecraftDesignConfig.eps.solarArrayPlusY.Mass,True,True,True,True,kg -> SI,PASS
EPS,solarArrayPlusY,RCM_X,Components.BodyMountedSolarArrayPlusYUnit.panelBody.r_CM[1],SpacecraftDesignConfig.eps.solarArrayPlusY.RCM_X,True,True,True,True,m -> SI,PASS
EPS,solarArrayPlusY,RCM_Y,Components.BodyMountedSolarArrayPlusYUnit.panelBody.r_CM[2],SpacecraftDesignConfig.eps.solarArrayPlusY.RCM_Y,True,True,True,True,m -> SI,PASS
EPS,solarArrayPlusY,RCM_Z,Components.BodyMountedSolarArrayPlusYUnit.panelBody.r_CM[3],SpacecraftDesignConfig.eps.solarArrayPlusY.RCM_Z,True,True,True,True,m -> SI,PASS
EPS,solarArrayPlusY,Inertia_XX,Components.BodyMountedSolarArrayPlusYUnit.panelBody.I_11,SpacecraftDesignConfig.eps.solarArrayPlusY.Inertia_XX,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayPlusY,Inertia_YY,Components.BodyMountedSolarArrayPlusYUnit.panelBody.I_22,SpacecraftDesignConfig.eps.solarArrayPlusY.Inertia_YY,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayPlusY,Inertia_ZZ,Components.BodyMountedSolarArrayPlusYUnit.panelBody.I_33,SpacecraftDesignConfig.eps.solarArrayPlusY.Inertia_ZZ,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayMinusX,ActiveArea,Components.BodyMountedSolarArrayMinusXUnit.activeArea,SpacecraftDesignConfig.eps.solarArrayMinusX.ActiveArea,True,True,True,True,m² -> SI,PASS
EPS,solarArrayMinusX,CellEfficiency,Components.BodyMountedSolarArrayMinusXUnit.cellEfficiency,SpacecraftDesignConfig.eps.solarArrayMinusX.CellEfficiency,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,SolarEOLFactor,Components.BodyMountedSolarArrayMinusXUnit.solarEOLFactor,SpacecraftDesignConfig.eps.solarArrayMinusX.SolarEOLFactor,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,UseSolarEOL,Components.BodyMountedSolarArrayMinusXUnit.useSolarEOL,SpacecraftDesignConfig.eps.solarArrayMinusX.UseSolarEOL,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,MPPTDeliveryEfficiency,Components.BodyMountedSolarArrayMinusXUnit.etaMPPT,SpacecraftDesignConfig.eps.solarArrayMinusX.MPPTDeliveryEfficiency,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,SolarAbsorptivity,Components.BodyMountedSolarArrayMinusXUnit.panelSolarAbsorptivity,SpacecraftDesignConfig.eps.solarArrayMinusX.SolarAbsorptivity,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,InfraredAbsorptivity,Components.BodyMountedSolarArrayMinusXUnit.panelInfraredAbsorptivity,SpacecraftDesignConfig.eps.solarArrayMinusX.InfraredAbsorptivity,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,Emissivity,Components.BodyMountedSolarArrayMinusXUnit.panelEmissivity,SpacecraftDesignConfig.eps.solarArrayMinusX.Emissivity,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,MountConductance,Components.BodyMountedSolarArrayMinusXUnit.panelMountConductance,SpacecraftDesignConfig.eps.solarArrayMinusX.MountConductance,True,True,True,True,W/K -> SI,PASS
EPS,solarArrayMinusX,HarnessResistance,Components.BodyMountedSolarArrayMinusXUnit.blockingHarness.R,SpacecraftDesignConfig.eps.solarArrayMinusX.HarnessResistance,True,True,True,True,Ω -> SI,PASS
EPS,solarArrayMinusX,PanelHeatCapacity,Components.BodyMountedSolarArrayMinusXUnit.panelThermalMass.C,SpacecraftDesignConfig.eps.solarArrayMinusX.PanelHeatCapacity,True,True,True,True,J/K -> SI,PASS
EPS,solarArrayMinusX,Normal_X,Components.BodyMountedSolarArrayMinusXUnit.panelNormalBody[1],SpacecraftDesignConfig.eps.solarArrayMinusX.Normal_X,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,Normal_Y,Components.BodyMountedSolarArrayMinusXUnit.panelNormalBody[2],SpacecraftDesignConfig.eps.solarArrayMinusX.Normal_Y,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,Normal_Z,Components.BodyMountedSolarArrayMinusXUnit.panelNormalBody[3],SpacecraftDesignConfig.eps.solarArrayMinusX.Normal_Z,True,True,True,True,identity,PASS
EPS,solarArrayMinusX,Mass,Components.BodyMountedSolarArrayMinusXUnit.panelBody.m,SpacecraftDesignConfig.eps.solarArrayMinusX.Mass,True,True,True,True,kg -> SI,PASS
EPS,solarArrayMinusX,RCM_X,Components.BodyMountedSolarArrayMinusXUnit.panelBody.r_CM[1],SpacecraftDesignConfig.eps.solarArrayMinusX.RCM_X,True,True,True,True,m -> SI,PASS
EPS,solarArrayMinusX,RCM_Y,Components.BodyMountedSolarArrayMinusXUnit.panelBody.r_CM[2],SpacecraftDesignConfig.eps.solarArrayMinusX.RCM_Y,True,True,True,True,m -> SI,PASS
EPS,solarArrayMinusX,RCM_Z,Components.BodyMountedSolarArrayMinusXUnit.panelBody.r_CM[3],SpacecraftDesignConfig.eps.solarArrayMinusX.RCM_Z,True,True,True,True,m -> SI,PASS
EPS,solarArrayMinusX,Inertia_XX,Components.BodyMountedSolarArrayMinusXUnit.panelBody.I_11,SpacecraftDesignConfig.eps.solarArrayMinusX.Inertia_XX,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayMinusX,Inertia_YY,Components.BodyMountedSolarArrayMinusXUnit.panelBody.I_22,SpacecraftDesignConfig.eps.solarArrayMinusX.Inertia_YY,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayMinusX,Inertia_ZZ,Components.BodyMountedSolarArrayMinusXUnit.panelBody.I_33,SpacecraftDesignConfig.eps.solarArrayMinusX.Inertia_ZZ,True,True,True,True,kg·m² -> SI,PASS
EPS,pcdu,RegulatorEfficiency12,Components.PowerConditioningUnit.regulatorEfficiency,SpacecraftDesignConfig.eps.pcdu.RegulatorEfficiency12,True,True,True,True,identity,PASS
EPS,pcdu,MinimumInputVoltage12,Components.PowerConditioningUnit.minimumInputVoltage,SpacecraftDesignConfig.eps.pcdu.MinimumInputVoltage12,True,True,True,True,V -> SI,PASS
EPS,pcdu,MaximumInputCurrent12,Components.PowerConditioningUnit.maximumInputCurrent,SpacecraftDesignConfig.eps.pcdu.MaximumInputCurrent12,True,True,True,True,A -> SI,PASS
EPS,pcdu,MaximumOutputCurrent12,Components.PowerConditioningUnit.maximumOutputCurrent,SpacecraftDesignConfig.eps.pcdu.MaximumOutputCurrent12,True,True,True,True,A -> SI,PASS
EPS,pcdu,MaximumOutputPower12,Components.PowerConditioningUnit.maximumOutputPower,SpacecraftDesignConfig.eps.pcdu.MaximumOutputPower12,True,True,True,True,W -> SI,PASS
EPS,pcdu,OutputResistance12,Components.PowerConditioningUnit.outputResistance12,SpacecraftDesignConfig.eps.pcdu.OutputResistance12,True,True,True,True,Ω -> SI,PASS
EPS,pcdu,OverloadDroop12,Components.PowerConditioningUnit.overloadDroop12,SpacecraftDesignConfig.eps.pcdu.OverloadDroop12,True,True,True,True,Ω -> SI,PASS
EPS,pcdu,Efficiency5V,Components.PowerConditioningUnit.eta5,SpacecraftDesignConfig.eps.pcdu.Efficiency5V,True,True,True,True,identity,PASS
EPS,pcdu,CurrentLimit5V,Components.PowerConditioningUnit.currentLimit5,SpacecraftDesignConfig.eps.pcdu.CurrentLimit5V,True,True,True,True,A -> SI,PASS
EPS,pcdu,NominalVoltage5V,Components.PowerConditioningUnit.converter5.nominalOutputVoltage,SpacecraftDesignConfig.eps.pcdu.NominalVoltage5V,True,True,True,True,V -> SI,PASS
EPS,pcdu,PowerLimit5V,Components.PowerConditioningUnit.converter5.outputPowerLimit,SpacecraftDesignConfig.eps.pcdu.PowerLimit5V,True,True,True,True,W -> SI,PASS
EPS,pcdu,MinimumInputVoltage5V,Components.PowerConditioningUnit.converter5.minimumInputVoltage,SpacecraftDesignConfig.eps.pcdu.MinimumInputVoltage5V,True,True,True,True,V -> SI,PASS
EPS,pcdu,OutputResistance5V,Components.PowerConditioningUnit.converter5.outputResistance,SpacecraftDesignConfig.eps.pcdu.OutputResistance5V,True,True,True,True,Ω -> SI,PASS
EPS,pcdu,OverloadDroop5V,Components.PowerConditioningUnit.converter5.overloadDroop,SpacecraftDesignConfig.eps.pcdu.OverloadDroop5V,True,True,True,True,Ω -> SI,PASS
EPS,pcdu,Efficiency3V3,Components.PowerConditioningUnit.eta3V3,SpacecraftDesignConfig.eps.pcdu.Efficiency3V3,True,True,True,True,identity,PASS
EPS,pcdu,CurrentLimit3V3,Components.PowerConditioningUnit.currentLimit3V3,SpacecraftDesignConfig.eps.pcdu.CurrentLimit3V3,True,True,True,True,A -> SI,PASS
EPS,pcdu,NominalVoltage3V3,Components.PowerConditioningUnit.converter3V3.nominalOutputVoltage,SpacecraftDesignConfig.eps.pcdu.NominalVoltage3V3,True,True,True,True,V -> SI,PASS
EPS,pcdu,PowerLimit3V3,Components.PowerConditioningUnit.converter3V3.outputPowerLimit,SpacecraftDesignConfig.eps.pcdu.PowerLimit3V3,True,True,True,True,W -> SI,PASS
EPS,pcdu,MinimumInputVoltage3V3,Components.PowerConditioningUnit.converter3V3.minimumInputVoltage,SpacecraftDesignConfig.eps.pcdu.MinimumInputVoltage3V3,True,True,True,True,V -> SI,PASS
EPS,pcdu,OutputResistance3V3,Components.PowerConditioningUnit.converter3V3.outputResistance,SpacecraftDesignConfig.eps.pcdu.OutputResistance3V3,True,True,True,True,Ω -> SI,PASS
EPS,pcdu,OverloadDroop3V3,Components.PowerConditioningUnit.converter3V3.overloadDroop,SpacecraftDesignConfig.eps.pcdu.OverloadDroop3V3,True,True,True,True,Ω -> SI,PASS
EPS,pcdu,HousekeepingResistance12,Components.PowerConditioningUnit.pcdHousekeeping12.R,SpacecraftDesignConfig.eps.pcdu.HousekeepingResistance12,True,True,True,True,Ω -> SI,PASS
EPS,pcdu,BoardHeatCapacity,Components.PowerConditioningUnit.boardHeat.C,SpacecraftDesignConfig.eps.pcdu.BoardHeatCapacity,True,True,True,True,J/K -> SI,PASS
EPS,pcdu,MountConductance,Components.PowerConditioningUnit.mounting.G,SpacecraftDesignConfig.eps.pcdu.MountConductance,True,True,True,True,W/K -> SI,PASS
EPS,pcdu,Mass,Components.PowerConditioningUnit.boardBody.m,SpacecraftDesignConfig.eps.pcdu.Mass,True,True,True,True,kg -> SI,PASS
EPS,pcdu,RCM_X,Components.PowerConditioningUnit.boardBody.r_CM[1],SpacecraftDesignConfig.eps.pcdu.RCM_X,True,True,True,True,m -> SI,PASS
EPS,pcdu,RCM_Y,Components.PowerConditioningUnit.boardBody.r_CM[2],SpacecraftDesignConfig.eps.pcdu.RCM_Y,True,True,True,True,m -> SI,PASS
EPS,pcdu,RCM_Z,Components.PowerConditioningUnit.boardBody.r_CM[3],SpacecraftDesignConfig.eps.pcdu.RCM_Z,True,True,True,True,m -> SI,PASS
EPS,pcdu,Inertia_XX,Components.PowerConditioningUnit.boardBody.I_11,SpacecraftDesignConfig.eps.pcdu.Inertia_XX,True,True,True,True,kg·m² -> SI,PASS
EPS,pcdu,Inertia_YY,Components.PowerConditioningUnit.boardBody.I_22,SpacecraftDesignConfig.eps.pcdu.Inertia_YY,True,True,True,True,kg·m² -> SI,PASS
EPS,pcdu,Inertia_ZZ,Components.PowerConditioningUnit.boardBody.I_33,SpacecraftDesignConfig.eps.pcdu.Inertia_ZZ,True,True,True,True,kg·m² -> SI,PASS
GNC,computer,ProcessorLoadResistance,Components.GNCComputerUnit.processorLoad.R,SpacecraftDesignConfig.gnc.computer.ProcessorLoadResistance,True,True,True,True,Ω -> SI,PASS
GNC,computer,HeatCapacity,Components.GNCComputerUnit.electronics.C,SpacecraftDesignConfig.gnc.computer.HeatCapacity,True,True,True,True,J/K -> SI,PASS
GNC,computer,MountConductance,Components.GNCComputerUnit.baseplate.G,SpacecraftDesignConfig.gnc.computer.MountConductance,True,True,True,True,W/K -> SI,PASS
GNC,computer,Mass,Components.GNCComputerUnit.unitBody.m,SpacecraftDesignConfig.gnc.computer.Mass,True,True,True,True,kg -> SI,PASS
GNC,computer,RCM_X,Components.GNCComputerUnit.unitBody.r_CM[1],SpacecraftDesignConfig.gnc.computer.RCM_X,True,True,True,True,m -> SI,PASS
GNC,computer,RCM_Y,Components.GNCComputerUnit.unitBody.r_CM[2],SpacecraftDesignConfig.gnc.computer.RCM_Y,True,True,True,True,m -> SI,PASS
GNC,computer,RCM_Z,Components.GNCComputerUnit.unitBody.r_CM[3],SpacecraftDesignConfig.gnc.computer.RCM_Z,True,True,True,True,m -> SI,PASS
GNC,computer,Inertia_XX,Components.GNCComputerUnit.unitBody.I_11,SpacecraftDesignConfig.gnc.computer.Inertia_XX,True,True,True,True,kg·m² -> SI,PASS
GNC,computer,Inertia_YY,Components.GNCComputerUnit.unitBody.I_22,SpacecraftDesignConfig.gnc.computer.Inertia_YY,True,True,True,True,kg·m² -> SI,PASS
GNC,computer,Inertia_ZZ,Components.GNCComputerUnit.unitBody.I_33,SpacecraftDesignConfig.gnc.computer.Inertia_ZZ,True,True,True,True,kg·m² -> SI,PASS
GNC,wheelX,SpeedLimit,Components.ReactionWheelXUnit.wheelSpeedLimit,SpacecraftDesignConfig.gnc.wheelX.SpeedLimit,True,True,True,True,rad/s -> SI,PASS
GNC,wheelX,MotorEfficiency,Components.ReactionWheelXUnit.motorEfficiency,SpacecraftDesignConfig.gnc.wheelX.MotorEfficiency,True,True,True,True,identity,PASS
GNC,wheelX,StandbyResistance,Components.ReactionWheelXUnit.driveElectronics.R,SpacecraftDesignConfig.gnc.wheelX.StandbyResistance,True,True,True,True,Ω -> SI,PASS
GNC,wheelX,MaxTorque,Components.ReactionWheelXUnit.torqueLimit.uMax,SpacecraftDesignConfig.gnc.wheelX.MaxTorque,True,True,True,True,N·m -> SI,PASS
GNC,wheelX,RotorInertia,Components.ReactionWheelXUnit.rotor.J,SpacecraftDesignConfig.gnc.wheelX.RotorInertia,True,True,True,True,kg·m² -> SI,PASS
GNC,wheelX,BearingDamping,Components.ReactionWheelXUnit.bearing.d,SpacecraftDesignConfig.gnc.wheelX.BearingDamping,True,True,True,True,N·m·s/rad -> SI,PASS
GNC,wheelX,HeatCapacity,Components.ReactionWheelXUnit.wheelThermalMass.C,SpacecraftDesignConfig.gnc.wheelX.HeatCapacity,True,True,True,True,J/K -> SI,PASS
GNC,wheelX,MountConductance,Components.ReactionWheelXUnit.casePath.G,SpacecraftDesignConfig.gnc.wheelX.MountConductance,True,True,True,True,W/K -> SI,PASS
GNC,wheelX,Axis_X,Components.ReactionWheelXUnit.mount.n[1],SpacecraftDesignConfig.gnc.wheelX.Axis_X,True,True,True,True,identity,PASS
GNC,wheelX,Axis_Y,Components.ReactionWheelXUnit.mount.n[2],SpacecraftDesignConfig.gnc.wheelX.Axis_Y,True,True,True,True,identity,PASS
GNC,wheelX,Axis_Z,Components.ReactionWheelXUnit.mount.n[3],SpacecraftDesignConfig.gnc.wheelX.Axis_Z,True,True,True,True,identity,PASS
GNC,wheelX,Mass,Components.ReactionWheelXUnit.wheelHousing.m,SpacecraftDesignConfig.gnc.wheelX.Mass,True,True,True,True,kg -> SI,PASS
GNC,wheelX,RCM_X,Components.ReactionWheelXUnit.wheelHousing.r_CM[1],SpacecraftDesignConfig.gnc.wheelX.RCM_X,True,True,True,True,m -> SI,PASS
GNC,wheelX,RCM_Y,Components.ReactionWheelXUnit.wheelHousing.r_CM[2],SpacecraftDesignConfig.gnc.wheelX.RCM_Y,True,True,True,True,m -> SI,PASS
GNC,wheelX,RCM_Z,Components.ReactionWheelXUnit.wheelHousing.r_CM[3],SpacecraftDesignConfig.gnc.wheelX.RCM_Z,True,True,True,True,m -> SI,PASS
GNC,wheelX,Inertia_XX,Components.ReactionWheelXUnit.wheelHousing.I_11,SpacecraftDesignConfig.gnc.wheelX.Inertia_XX,True,True,True,True,kg·m² -> SI,PASS
GNC,wheelX,Inertia_YY,Components.ReactionWheelXUnit.wheelHousing.I_22,SpacecraftDesignConfig.gnc.wheelX.Inertia_YY,True,True,True,True,kg·m² -> SI,PASS
