Kind,Subsystem,Instance,ComponentModel,Category,Parameter,ExcelValue,Unit,UseDefault,ResolvedValue,ResolvedSIValue,ConfigKey,ModelicaTarget,ChangedFromDefault
Component,EPS,battery,Components.BatteryUnit,Mechanical,Mass,2.35,kg,True,2.35,2.35,SpacecraftDesignConfig.eps.battery.Mass,Components.BatteryUnit.housing.m,False
Component,EPS,battery,Components.BatteryUnit,Mechanical,RCM_X,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.battery.RCM_X,Components.BatteryUnit.housing.r_CM[1],False
Component,EPS,battery,Components.BatteryUnit,Mechanical,RCM_Y,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.battery.RCM_Y,Components.BatteryUnit.housing.r_CM[2],False
Component,EPS,battery,Components.BatteryUnit,Mechanical,RCM_Z,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.battery.RCM_Z,Components.BatteryUnit.housing.r_CM[3],False
Component,EPS,battery,Components.BatteryUnit,Mechanical,Inertia_XX,0.018,kg·m²,True,0.018,0.018,SpacecraftDesignConfig.eps.battery.Inertia_XX,Components.BatteryUnit.housing.I_11,False
Component,EPS,battery,Components.BatteryUnit,Mechanical,Inertia_YY,0.011,kg·m²,True,0.011,0.011,SpacecraftDesignConfig.eps.battery.Inertia_YY,Components.BatteryUnit.housing.I_22,False
Component,EPS,battery,Components.BatteryUnit,Mechanical,Inertia_ZZ,0.016,kg·m²,True,0.016,0.016,SpacecraftDesignConfig.eps.battery.Inertia_ZZ,Components.BatteryUnit.housing.I_33,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Functional,ActiveArea,0.069156,m²,True,0.069156,0.069156,SpacecraftDesignConfig.eps.solarArrayPlusX.ActiveArea,Components.BodyMountedSolarArrayPlusXUnit.activeArea,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Functional,CellEfficiency,0.32,1,True,0.32,0.32,SpacecraftDesignConfig.eps.solarArrayPlusX.CellEfficiency,Components.BodyMountedSolarArrayPlusXUnit.cellEfficiency,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Life,SolarEOLFactor,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayPlusX.SolarEOLFactor,Components.BodyMountedSolarArrayPlusXUnit.solarEOLFactor,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Configuration,UseSolarEOL,False,Boolean,True,False,False,SpacecraftDesignConfig.eps.solarArrayPlusX.UseSolarEOL,Components.BodyMountedSolarArrayPlusXUnit.useSolarEOL,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Electrical,MPPTDeliveryEfficiency,0.965,1,True,0.965,0.965,SpacecraftDesignConfig.eps.solarArrayPlusX.MPPTDeliveryEfficiency,Components.BodyMountedSolarArrayPlusXUnit.etaMPPT,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Thermal,SolarAbsorptivity,0.9,1,True,0.9,0.9,SpacecraftDesignConfig.eps.solarArrayPlusX.SolarAbsorptivity,Components.BodyMountedSolarArrayPlusXUnit.panelSolarAbsorptivity,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Thermal,InfraredAbsorptivity,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayPlusX.InfraredAbsorptivity,Components.BodyMountedSolarArrayPlusXUnit.panelInfraredAbsorptivity,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Thermal,Emissivity,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayPlusX.Emissivity,Components.BodyMountedSolarArrayPlusXUnit.panelEmissivity,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Thermal,MountConductance,0.25,W/K,True,0.25,0.25,SpacecraftDesignConfig.eps.solarArrayPlusX.MountConductance,Components.BodyMountedSolarArrayPlusXUnit.panelMountConductance,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Electrical,HarnessResistance,0.06,Ω,True,0.06,0.06,SpacecraftDesignConfig.eps.solarArrayPlusX.HarnessResistance,Components.BodyMountedSolarArrayPlusXUnit.blockingHarness.R,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Thermal,PanelHeatCapacity,510,J/K,True,510.0,510.0,SpacecraftDesignConfig.eps.solarArrayPlusX.PanelHeatCapacity,Components.BodyMountedSolarArrayPlusXUnit.panelThermalMass.C,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,Normal_X,1,1,True,1.0,1.0,SpacecraftDesignConfig.eps.solarArrayPlusX.Normal_X,Components.BodyMountedSolarArrayPlusXUnit.panelNormalBody[1],False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,Normal_Y,0,1,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusX.Normal_Y,Components.BodyMountedSolarArrayPlusXUnit.panelNormalBody[2],False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,Normal_Z,0,1,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusX.Normal_Z,Components.BodyMountedSolarArrayPlusXUnit.panelNormalBody[3],False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,Mass,0.28,kg,True,0.28,0.28,SpacecraftDesignConfig.eps.solarArrayPlusX.Mass,Components.BodyMountedSolarArrayPlusXUnit.panelBody.m,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,RCM_X,0.113,m,True,0.113,0.113,SpacecraftDesignConfig.eps.solarArrayPlusX.RCM_X,Components.BodyMountedSolarArrayPlusXUnit.panelBody.r_CM[1],False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,RCM_Y,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusX.RCM_Y,Components.BodyMountedSolarArrayPlusXUnit.panelBody.r_CM[2],False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,RCM_Z,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusX.RCM_Z,Components.BodyMountedSolarArrayPlusXUnit.panelBody.r_CM[3],False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,Inertia_XX,0.003889,kg·m²,True,0.003889,0.003889,SpacecraftDesignConfig.eps.solarArrayPlusX.Inertia_XX,Components.BodyMountedSolarArrayPlusXUnit.panelBody.I_11,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,Inertia_YY,0.002697,kg·m²,True,0.002697,0.002697,SpacecraftDesignConfig.eps.solarArrayPlusX.Inertia_YY,Components.BodyMountedSolarArrayPlusXUnit.panelBody.I_22,False
Component,EPS,solarArrayPlusX,Components.BodyMountedSolarArrayPlusXUnit,Mechanical,Inertia_ZZ,0.001192,kg·m²,True,0.001192,0.001192,SpacecraftDesignConfig.eps.solarArrayPlusX.Inertia_ZZ,Components.BodyMountedSolarArrayPlusXUnit.panelBody.I_33,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Functional,ActiveArea,0.069156,m²,True,0.069156,0.069156,SpacecraftDesignConfig.eps.solarArrayPlusY.ActiveArea,Components.BodyMountedSolarArrayPlusYUnit.activeArea,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Functional,CellEfficiency,0.32,1,True,0.32,0.32,SpacecraftDesignConfig.eps.solarArrayPlusY.CellEfficiency,Components.BodyMountedSolarArrayPlusYUnit.cellEfficiency,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Life,SolarEOLFactor,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayPlusY.SolarEOLFactor,Components.BodyMountedSolarArrayPlusYUnit.solarEOLFactor,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Configuration,UseSolarEOL,False,Boolean,True,False,False,SpacecraftDesignConfig.eps.solarArrayPlusY.UseSolarEOL,Components.BodyMountedSolarArrayPlusYUnit.useSolarEOL,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Electrical,MPPTDeliveryEfficiency,0.95,1,True,0.95,0.95,SpacecraftDesignConfig.eps.solarArrayPlusY.MPPTDeliveryEfficiency,Components.BodyMountedSolarArrayPlusYUnit.etaMPPT,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Thermal,SolarAbsorptivity,0.9,1,True,0.9,0.9,SpacecraftDesignConfig.eps.solarArrayPlusY.SolarAbsorptivity,Components.BodyMountedSolarArrayPlusYUnit.panelSolarAbsorptivity,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Thermal,InfraredAbsorptivity,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayPlusY.InfraredAbsorptivity,Components.BodyMountedSolarArrayPlusYUnit.panelInfraredAbsorptivity,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Thermal,Emissivity,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayPlusY.Emissivity,Components.BodyMountedSolarArrayPlusYUnit.panelEmissivity,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Thermal,MountConductance,0.25,W/K,True,0.25,0.25,SpacecraftDesignConfig.eps.solarArrayPlusY.MountConductance,Components.BodyMountedSolarArrayPlusYUnit.panelMountConductance,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Electrical,HarnessResistance,0.04235,Ω,True,0.04235,0.04235,SpacecraftDesignConfig.eps.solarArrayPlusY.HarnessResistance,Components.BodyMountedSolarArrayPlusYUnit.equivalentDualHarness.R,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Thermal,PanelHeatCapacity,525,J/K,True,525.0,525.0,SpacecraftDesignConfig.eps.solarArrayPlusY.PanelHeatCapacity,Components.BodyMountedSolarArrayPlusYUnit.panelThermalMass.C,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,Normal_X,0,1,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusY.Normal_X,Components.BodyMountedSolarArrayPlusYUnit.panelNormalBody[1],False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,Normal_Y,1,1,True,1.0,1.0,SpacecraftDesignConfig.eps.solarArrayPlusY.Normal_Y,Components.BodyMountedSolarArrayPlusYUnit.panelNormalBody[2],False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,Normal_Z,0,1,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusY.Normal_Z,Components.BodyMountedSolarArrayPlusYUnit.panelNormalBody[3],False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,Mass,0.28,kg,True,0.28,0.28,SpacecraftDesignConfig.eps.solarArrayPlusY.Mass,Components.BodyMountedSolarArrayPlusYUnit.panelBody.m,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,RCM_X,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusY.RCM_X,Components.BodyMountedSolarArrayPlusYUnit.panelBody.r_CM[1],False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,RCM_Y,0.113,m,True,0.113,0.113,SpacecraftDesignConfig.eps.solarArrayPlusY.RCM_Y,Components.BodyMountedSolarArrayPlusYUnit.panelBody.r_CM[2],False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,RCM_Z,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayPlusY.RCM_Z,Components.BodyMountedSolarArrayPlusYUnit.panelBody.r_CM[3],False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,Inertia_XX,0.002697,kg·m²,True,0.002697,0.002697,SpacecraftDesignConfig.eps.solarArrayPlusY.Inertia_XX,Components.BodyMountedSolarArrayPlusYUnit.panelBody.I_11,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,Inertia_YY,0.003889,kg·m²,True,0.003889,0.003889,SpacecraftDesignConfig.eps.solarArrayPlusY.Inertia_YY,Components.BodyMountedSolarArrayPlusYUnit.panelBody.I_22,False
Component,EPS,solarArrayPlusY,Components.BodyMountedSolarArrayPlusYUnit,Mechanical,Inertia_ZZ,0.001192,kg·m²,True,0.001192,0.001192,SpacecraftDesignConfig.eps.solarArrayPlusY.Inertia_ZZ,Components.BodyMountedSolarArrayPlusYUnit.panelBody.I_33,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Functional,ActiveArea,0.06224,m²,True,0.06224,0.06224,SpacecraftDesignConfig.eps.solarArrayMinusX.ActiveArea,Components.BodyMountedSolarArrayMinusXUnit.activeArea,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Functional,CellEfficiency,0.32,1,True,0.32,0.32,SpacecraftDesignConfig.eps.solarArrayMinusX.CellEfficiency,Components.BodyMountedSolarArrayMinusXUnit.cellEfficiency,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Life,SolarEOLFactor,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayMinusX.SolarEOLFactor,Components.BodyMountedSolarArrayMinusXUnit.solarEOLFactor,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Configuration,UseSolarEOL,False,Boolean,True,False,False,SpacecraftDesignConfig.eps.solarArrayMinusX.UseSolarEOL,Components.BodyMountedSolarArrayMinusXUnit.useSolarEOL,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Electrical,MPPTDeliveryEfficiency,0.96,1,True,0.96,0.96,SpacecraftDesignConfig.eps.solarArrayMinusX.MPPTDeliveryEfficiency,Components.BodyMountedSolarArrayMinusXUnit.etaMPPT,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Thermal,SolarAbsorptivity,0.9,1,True,0.9,0.9,SpacecraftDesignConfig.eps.solarArrayMinusX.SolarAbsorptivity,Components.BodyMountedSolarArrayMinusXUnit.panelSolarAbsorptivity,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Thermal,InfraredAbsorptivity,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayMinusX.InfraredAbsorptivity,Components.BodyMountedSolarArrayMinusXUnit.panelInfraredAbsorptivity,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Thermal,Emissivity,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.solarArrayMinusX.Emissivity,Components.BodyMountedSolarArrayMinusXUnit.panelEmissivity,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Thermal,MountConductance,0.25,W/K,True,0.25,0.25,SpacecraftDesignConfig.eps.solarArrayMinusX.MountConductance,Components.BodyMountedSolarArrayMinusXUnit.panelMountConductance,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Electrical,HarnessResistance,0.065,Ω,True,0.065,0.065,SpacecraftDesignConfig.eps.solarArrayMinusX.HarnessResistance,Components.BodyMountedSolarArrayMinusXUnit.blockingHarness.R,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Thermal,PanelHeatCapacity,470,J/K,True,470.0,470.0,SpacecraftDesignConfig.eps.solarArrayMinusX.PanelHeatCapacity,Components.BodyMountedSolarArrayMinusXUnit.panelThermalMass.C,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,Normal_X,-1,1,True,-1.0,-1.0,SpacecraftDesignConfig.eps.solarArrayMinusX.Normal_X,Components.BodyMountedSolarArrayMinusXUnit.panelNormalBody[1],False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,Normal_Y,0,1,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayMinusX.Normal_Y,Components.BodyMountedSolarArrayMinusXUnit.panelNormalBody[2],False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,Normal_Z,0,1,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayMinusX.Normal_Z,Components.BodyMountedSolarArrayMinusXUnit.panelNormalBody[3],False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,Mass,0.25,kg,True,0.25,0.25,SpacecraftDesignConfig.eps.solarArrayMinusX.Mass,Components.BodyMountedSolarArrayMinusXUnit.panelBody.m,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,RCM_X,-0.113,m,True,-0.113,-0.113,SpacecraftDesignConfig.eps.solarArrayMinusX.RCM_X,Components.BodyMountedSolarArrayMinusXUnit.panelBody.r_CM[1],False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,RCM_Y,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayMinusX.RCM_Y,Components.BodyMountedSolarArrayMinusXUnit.panelBody.r_CM[2],False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,RCM_Z,0,m,True,0.0,0.0,SpacecraftDesignConfig.eps.solarArrayMinusX.RCM_Z,Components.BodyMountedSolarArrayMinusXUnit.panelBody.r_CM[3],False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,Inertia_XX,0.003472,kg·m²,True,0.003472,0.003472,SpacecraftDesignConfig.eps.solarArrayMinusX.Inertia_XX,Components.BodyMountedSolarArrayMinusXUnit.panelBody.I_11,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,Inertia_YY,0.002408,kg·m²,True,0.002408,0.002408,SpacecraftDesignConfig.eps.solarArrayMinusX.Inertia_YY,Components.BodyMountedSolarArrayMinusXUnit.panelBody.I_22,False
Component,EPS,solarArrayMinusX,Components.BodyMountedSolarArrayMinusXUnit,Mechanical,Inertia_ZZ,0.001064,kg·m²,True,0.001064,0.001064,SpacecraftDesignConfig.eps.solarArrayMinusX.Inertia_ZZ,Components.BodyMountedSolarArrayMinusXUnit.panelBody.I_33,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,RegulatorEfficiency12,0.94,1,True,0.94,0.94,SpacecraftDesignConfig.eps.pcdu.RegulatorEfficiency12,Components.PowerConditioningUnit.regulatorEfficiency,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,MinimumInputVoltage12,10.2,V,True,10.2,10.2,SpacecraftDesignConfig.eps.pcdu.MinimumInputVoltage12,Components.PowerConditioningUnit.minimumInputVoltage,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,MaximumInputCurrent12,12,A,True,12.0,12.0,SpacecraftDesignConfig.eps.pcdu.MaximumInputCurrent12,Components.PowerConditioningUnit.maximumInputCurrent,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,MaximumOutputCurrent12,8,A,True,8.0,8.0,SpacecraftDesignConfig.eps.pcdu.MaximumOutputCurrent12,Components.PowerConditioningUnit.maximumOutputCurrent,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,MaximumOutputPower12,96,W,True,96.0,96.0,SpacecraftDesignConfig.eps.pcdu.MaximumOutputPower12,Components.PowerConditioningUnit.maximumOutputPower,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,OutputResistance12,0.035,Ω,True,0.035,0.035,SpacecraftDesignConfig.eps.pcdu.OutputResistance12,Components.PowerConditioningUnit.outputResistance12,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,OverloadDroop12,0.65,Ω,True,0.65,0.65,SpacecraftDesignConfig.eps.pcdu.OverloadDroop12,Components.PowerConditioningUnit.overloadDroop12,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,Efficiency5V,0.91,1,True,0.91,0.91,SpacecraftDesignConfig.eps.pcdu.Efficiency5V,Components.PowerConditioningUnit.eta5,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,CurrentLimit5V,6,A,True,6.0,6.0,SpacecraftDesignConfig.eps.pcdu.CurrentLimit5V,Components.PowerConditioningUnit.currentLimit5,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,NominalVoltage5V,5.25,V,True,5.25,5.25,SpacecraftDesignConfig.eps.pcdu.NominalVoltage5V,Components.PowerConditioningUnit.converter5.nominalOutputVoltage,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,PowerLimit5V,30,W,True,30.0,30.0,SpacecraftDesignConfig.eps.pcdu.PowerLimit5V,Components.PowerConditioningUnit.converter5.outputPowerLimit,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,MinimumInputVoltage5V,9,V,True,9.0,9.0,SpacecraftDesignConfig.eps.pcdu.MinimumInputVoltage5V,Components.PowerConditioningUnit.converter5.minimumInputVoltage,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,OutputResistance5V,0.025,Ω,True,0.025,0.025,SpacecraftDesignConfig.eps.pcdu.OutputResistance5V,Components.PowerConditioningUnit.converter5.outputResistance,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,OverloadDroop5V,0.45,Ω,True,0.45,0.45,SpacecraftDesignConfig.eps.pcdu.OverloadDroop5V,Components.PowerConditioningUnit.converter5.overloadDroop,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,Efficiency3V3,0.89,1,True,0.89,0.89,SpacecraftDesignConfig.eps.pcdu.Efficiency3V3,Components.PowerConditioningUnit.eta3V3,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,CurrentLimit3V3,5,A,True,5.0,5.0,SpacecraftDesignConfig.eps.pcdu.CurrentLimit3V3,Components.PowerConditioningUnit.currentLimit3V3,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,NominalVoltage3V3,3.45,V,True,3.45,3.45,SpacecraftDesignConfig.eps.pcdu.NominalVoltage3V3,Components.PowerConditioningUnit.converter3V3.nominalOutputVoltage,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,PowerLimit3V3,17,W,True,17.0,17.0,SpacecraftDesignConfig.eps.pcdu.PowerLimit3V3,Components.PowerConditioningUnit.converter3V3.outputPowerLimit,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,MinimumInputVoltage3V3,9,V,True,9.0,9.0,SpacecraftDesignConfig.eps.pcdu.MinimumInputVoltage3V3,Components.PowerConditioningUnit.converter3V3.minimumInputVoltage,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,OutputResistance3V3,0.03,Ω,True,0.03,0.03,SpacecraftDesignConfig.eps.pcdu.OutputResistance3V3,Components.PowerConditioningUnit.converter3V3.outputResistance,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,OverloadDroop3V3,0.5,Ω,True,0.5,0.5,SpacecraftDesignConfig.eps.pcdu.OverloadDroop3V3,Components.PowerConditioningUnit.converter3V3.overloadDroop,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Electrical,HousekeepingResistance12,93.35,Ω,True,93.35,93.35,SpacecraftDesignConfig.eps.pcdu.HousekeepingResistance12,Components.PowerConditioningUnit.pcdHousekeeping12.R,False
Component,EPS,pcdu,Components.PowerConditioningUnit,Thermal,BoardHeatCapacity,680,J/K,True,680.0,680.0,SpacecraftDesignConfig.eps.pcdu.BoardHeatCapacity,Components.PowerConditioningUnit.boardHeat.C,False
